Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae,1554971,2357101,791590,655376,591099,223835,1597632,726875,3978731,490994,1945380,1498974,1814104,599530,370171,688510,2447657
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,156755,350491,218671,687933,1892271,750788,606841,1437735,930838,2402128,275806,297168,248997,630208,552137,791911,560814
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,118768,117521,76990,160430,266521,232469,166478,221002,160111,398110,251724,437152,128260,183758,61645,190758,181175
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,86973,156199,109480,149021,173020,95122,108225,160651,138545,139913,77426,89976,89047,152188,36771,160583,136819
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola,66084,77960,41618,339384,314026,220915,136171,514245,367516,429441,132893,49805,70085,230471,125581,242962,181878
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,62405,81697,34402,210154,84949,56415,137047,199227,228304,153128,88416,63945,107102,103897,51461,128111,131484
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,13754,14855,16107,92934,74320,51921,22606,58694,25119,81279,17680,27115,22109,63754,63093,51734,29561
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,13237,18287,8540,19049,19345,8119,12417,24563,30075,16436,21134,14834,25482,16036,8466,18074,27471
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,8404,10946,5296,11012,11707,5692,7779,14114,19243,10600,10544,8528,15902,12113,7172,11101,15889
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae,5127,6734,3404,7278,6577,3824,4794,8925,10274,6745,6882,5966,8975,6953,4001,7061,9398
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae,858,889,585,1538,1119,667,792,1603,1534,1400,968,894,1094,1309,862,1257,1280
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae,471,592,327,713,648,497,390,1075,1327,659,638,557,902,726,522,877,1048
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae,1031,1098,793,1578,1432,965,922,1572,1808,1570,972,1156,1251,1619,1384,1501,1563
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae,649,919,553,1227,1107,711,650,1822,1486,1184,817,724,1093,1264,889,1170,1459
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,36791,32870,37018,40178,35027,27982,31070,45970,42528,41993,32488,31837,29520,41666,32072,39424,42579
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae,15377,13951,16186,17350,14801,11624,13355,19761,17493,18190,14620,12807,12892,17682,13917,16305,17882
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae,2332,1725,2655,2196,1499,1633,2137,2433,1827,2373,1986,1708,1204,2171,1779,1972,2171
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae,545,582,460,928,888,610,520,797,1011,927,588,775,644,913,720,861,918
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae,15598,17273,10202,17861,18045,10125,12832,20724,27166,18112,18451,17475,23380,18895,11498,19050,26611
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae,8064,8329,5576,9696,9269,5825,6627,10616,12735,10479,8507,8639,10127,9833,6758,10181,12062
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae,2824,2793,2448,3682,3352,2523,2434,4382,4068,4129,2782,2892,2956,3995,2977,3560,3835
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae,854,1046,643,1318,1270,819,800,1405,1602,1256,1262,1131,1537,1144,758,1173,1647
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae,845,701,896,885,681,534,609,756,967,804,508,572,418,731,380,799,846
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae,12919,13225,11229,17045,16174,10950,11393,19676,20600,18209,13858,13088,15031,18215,13376,17709,18178
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae,8162,7914,5823,10289,10162,6305,6554,12872,13093,10762,8305,8208,9866,11001,7936,10282,11619
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae,433,575,395,765,707,471,410,1011,662,722,572,599,813,817,404,785,654
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae,2702,2309,1747,2477,2300,1715,2008,3551,3800,2925,2538,2933,2985,3132,2610,2736,3736
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae,768334,193771,389108,102287,62249,105504,186063,112013,134327,261767,146095,278275,145312,421821,485709,266230,171615
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,279198,97470,161959,56277,58949,60195,101922,78025,75683,174561,60611,139084,57148,256448,271579,174625,86592
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae,68873,34953,76979,45492,20014,40641,34391,62510,23684,51393,28202,37964,20965,47735,52248,41837,34072
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Flintibacter,17484,7379,10350,3700,4401,5674,8877,5865,6911,15175,4180,10547,4385,30793,31361,12613,7260
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Massilistercora,16277,4443,8496,2845,1545,2681,4194,2868,3141,8026,3485,5715,3040,11465,13163,7317,3870
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Intestinimonas,14599,5576,8546,2617,2871,3842,7460,4296,6081,12323,3353,8324,3424,17334,17876,9902,5903
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XIII. Incertae Sedis,4608,1579,2975,1809,1505,1575,1977,2256,1695,3087,1409,2472,1295,3902,4300,2777,1796
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Monoglobus,1405,424,861,502,503,426,440,713,395,771,383,653,324,1086,981,862,457
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae,23638,13458,17623,18359,10631,24362,9018,29939,11225,41856,13644,13555,11664,24317,22669,17531,11971
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae,15871,5030,8901,3617,2573,3414,4553,4233,3997,7304,3548,6500,3418,9197,12003,6524,4766
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae,11134,4225,7125,3824,2803,3609,4352,5059,3685,6816,3788,6099,3136,8674,9403,6176,4735
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae,4639,1659,2215,1360,1136,1193,1493,1762,1476,2798,1319,2617,1392,3932,4374,2780,1704
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis,4403,2098,3788,2066,1362,1924,2048,2283,1444,2594,1565,2244,984,3190,2487,2508,2116
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae,2854,1400,1852,1353,966,1262,1182,1617,1447,2078,1216,1673,1028,2508,2336,1870,1458
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae,1080,695,1304,778,350,712,609,893,376,698,490,647,306,731,763,656,678
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,212767,159272,86068,15512,65078,12118,53111,70771,68882,63219,30821,42470,23653,51130,30387,16486,45026
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,21060,7497,16019,8852,3921,5885,6950,6493,5336,8176,5339,9005,4867,9105,12484,7499,6941
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,20174,8845,14369,8489,5845,7032,8463,12462,6831,12346,6874,9423,5455,12672,13426,10887,9144
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,2576,1197,2122,1507,830,1192,1248,1760,974,1725,1099,1361,654,1794,1769,1384,1232
