Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes,3456995,1495427,2302672,2676658,3772683,2791926,3087659,2732162,1482323,2601606,2310057
d__Bacteria|p__Chlorobi,2309,1747,2702,2477,2300,2985,2538,2933,2610,2736,3132
d__Bacteria|p__Firmicutes,665817,1006933,1759088,414828,323258,387463,439017,734406,1216709,772719,1138772
d__Bacteria|p__Actinobacteria,728833,536203,389732,69879,607276,174281,151917,297545,139964,127564,251060
d__Bacteria|p__Cyanobacteria,10431,15745,17881,8817,8330,9805,12543,12958,13158,12772,15092
d__Bacteria|p__Tenericutes,7656,14260,10423,9983,5370,3972,8411,8759,10821,8952,7414
d__Bacteria|p__Deinococcus-Thermus,2160,2022,3356,2101,2191,2403,2050,2737,3614,3389,4208
d__Bacteria|p__Chloroflexi,1862,1927,3097,1681,1579,2005,1779,2798,2887,2646,3237
d__Bacteria|p__Proteobacteria,1372253,1021009,1024832,764340,700722,691117,1070091,875230,1264406,854863,931085
d__Bacteria|p__Spirochaetes,40831,48064,72192,48091,17248,10293,29472,23572,40848,46790,44860
d__Bacteria|p__Planctomycetes,5929,5375,7755,4790,5176,6586,5714,6738,5809,6730,7344
d__Bacteria|p__Verrucomicrobia,4723,3329,4214,5741,5525,5587,4857,5385,3776,6268,6378
d__Bacteria|p__Chlamydiae,659,1074,942,565,550,375,701,748,887,866,930
d__Bacteria|p__Fusobacteria,5451,10355,8324,6695,3281,2535,5345,5442,5794,5397,6186
d__Bacteria|p__Thermotogae,1622,2489,3071,2021,1317,1506,2021,2259,2395,2378,2897
d__Bacteria|p__Acidobacteria,2157,1832,2459,1865,2137,2031,1970,2549,1785,2616,2774
d__Bacteria|p__Synergistetes,1165,1321,2284,788,727,980,1008,1368,2399,1652,2498
d__Bacteria|p__Deferribacteres,860,2163,1280,808,643,630,1532,2052,2353,1282,3064
d__Bacteria|p__Aquificae,564,1232,869,621,408,367,629,839,1222,855,1259
d__Bacteria|p__Candidatus Saccharibacteria,1282,537,510,1220,1268,445,672,1990,320,2658,2361
d__Eukaryota|k__Metazoa,1454624,1532525,776656,46187,1192949,230554,441089,485311,131356,181101,361101
d__Archaea|p__Euryarchaeota,5626,9781,9466,4619,3973,4257,5989,5569,5622,6086,6516
d__Archaea|p__Crenarchaeota,878,2269,1567,514,464,496,1139,713,547,868,798
d__Viruses|p__Uroviricota,978,1922,2163,636,603,592,924,972,838,856,925
d__Viruses|k__Pararnavirae,3329,2438,1291,6,2644,227,209,767,136,42,542
d__Viruses|k__Bamfordvirae,689,1986,1066,162,139,404,988,602,224,457,268
